Index_number,Star_name,Distance,Mass,Radius,gravity
0,Sun,0.000015813,1,1,1.3266630000000002e+20
1,Sirius,0008.6,2.1,1.71,2.7859923e+20
2,Canopus,0310,15,71,1.9899945e+21
3,Alpha Centauri,0004.4,1.1,1.2,1.4593293e+20
4,Arcturus,0037,1.1,26,1.4593292999999998e+20
5,Vega,0025,2.2,2.7,2.9186586000000002e+20
6,Capella,0043,2.6,12,3.4493238e+20
7,Rigel,0860,23,78.9,3.0513249e+21
8,Procyon,0011.4,1.5,1.9,1.9899944999999996e+20
9,Betelgeuse,0640,20,950,2.653326e+21
10,Achernar,0144,6.7,9.3,8.888642099999999e+20
11,Hadar,0390,10.5,8.6,1.39299615e+21
12,Altair,0017,1.8,1.8,2.3879934e+20
13,Acrux,0320,18,8.9,2.3879934e+21
14,Aldebaran,0065,1.5,44,1.9899945e+20
15,Antares,0600,12,680,1.5919956e+21
16,Spica,0260,11.43,7.47,1.5163758089999997e+21
17,Pollux,0034,1.9,8.8,2.5206597e+20
18,Fomalhaut,0025,1.9,1.8,2.5206597e+20
19,Deneb,2600,19,203,2.5206597e+21
20,Mimosa,0350,16,8.4,2.1226608e+21
21,Regulus,0077,3.8,3.1,5.0413194e+20
22,Adhara,0430,12.5,14,1.65832875e+21
23,Shaula,0700,14.5,8.8,1.92366135e+21
24,Castor,0052,2.8,2.4,3.7146564e+20
25,Gacrux,0088,1.5,84,1.9899945e+20
26,Bellatrix,0240,8.6,5.8,1.1409301799999999e+21
27,Elnath,0130,5.0,4.2,6.633315e+20
28,Miaplacidus,0110,3.5,6.8,4.6433205e+20
29,Alnilam,2000,32,42,4.2453216e+21
30,Gamma Velorum,1100,9.0,6,1.1939967e+21
31,Alnair,0101,4.0,3.4,5.306652e+20
32,Alioth,0081,2.9,4.2,3.8473226999999994e+20
33,Alnitak,01050,33,20,4.3779878999999995e+21
34,Dubhe,0120,4.25,30,5.6383177499999994e+20
35,Mirfak,0590,8.5,68,1.1276635499999999e+21
36,Wezen,1600,17,200,2.2553270999999998e+21
37,Sargas,0270,5.7,26,7.5619791e+20
38,Kaus Australis,0140,3.5,6.8,4.6433205e+20
39,Avior,0630,9.0,130,1.1939967e+21
40,Alkaid,0104,6.1,3.4,8.0926443e+20
41,Menkalinan,081,2.39,2.77,3.17072457e+20
42,Atria,0390,7,92,9.286641e+20
43,Alhena,0109,2.8,3.3,3.7146564e+20
44,Peacock,0180,5.9,4.8,7.8273117e+20
45,Alsephina[2],0080,2.4,2.9,3.1839912e+20
46,Mirzam,0500,13.5,10,1.79099505e+21
47,Polaris,0430,5.4,39,7.163980200000001e+20
48,Alphard,0180,3.0,50,3.979989e+20
49,Mintaka,01200,24,16.5,3.1839912e+21
50,Scheat,0196,2.1,95,2.7859923e+20
51,Almaaz,0653,15,140,1.9899944999999997e+21
52,Rasalgethi,0360,2.8,280,3.7146564e+20
53,Tau Ceti,011.9,0.783,0.893,1.038777129e+20
54,Delta Pavonis,019.92,0.991,1.22,1.3147230329999999e+20
55,Ran,010.48,0.82,0.74,1.0878636599999998e+20
56,V382 Carinae,8900,20,485,2.653326e+21
57,Eta Carinae,7500,100,470.5,1.326663e+22
58,Delta Cephei,0887,4.5,44.5,5.9699835e+20
59,Mu Cephei,6000,19.2,972,2.54719296e+21
60,Titawin,044.25,1.27,1.48,1.68486201e+20
61,Rho Cassiopeiae,8154,22,808.5,2.9186586e+21
62,P Cygni,5545,30,76,3.9799890000000005e+21
64,VV Cephei,4900,18.2,783,2.41452666e+21
65,61 Cygni,011.41,0.7,0.665,9.286641e+19
66,R Doradus,0178,0.7,298,9.286641e+19
